NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,정류소타입,표준버스정류장ID,총승하차인원,daily_avg_usage,raw_score_bus_cong
121900296,22581,국립국악원,127.0087097,37.47817053,마을버스,121900296,4754.0,158.46666666666667,158.46666666666667
121900295,22582,종로교회,126.9881108,37.47811168,마을버스,121900295,1110.8,37.026666666666664,37.026666666666664
121900294,22583,서초푸르지오써밋,127.0216821,37.50196612,마을버스,121900294,4964.8,165.49333333333334,165.49333333333334
121900292,22584,원불교,127.0419263,37.48099108,마을버스,121900292,3324.5,110.81666666666666,110.81666666666666
121900290,22585,일동제약,127.0370543,37.47718824,마을버스,121900290,3763.3529411764707,125.4450980392157,125.4450980392157
121900261,22586,방일초등학교,126.9949736,37.48584365,마을버스,121900261,3591.4,119.71333333333334,119.71333333333334
121900246,22587,논현역5번출구,127.021493,37.51028967,마을버스,121900246,20235.6,674.52,674.52
121900319,22591,청계산입구역,127.0553028,37.44895725,마을버스,121900319,3390.4,113.01333333333334,113.01333333333334
121900281,22592,예술의전당,127.0135449,37.48058323,마을버스,121900281,11182.8,372.76,372.76
121900263,22593,서울교통공사,126.9868536,37.47744653,마을버스,121900263,2649.8,88.32666666666667,88.32666666666667
121900241,22594,경원중학교,127.0068991,37.51149706,마을버스,121900241,1413.8,47.126666666666665,47.126666666666665
121900221,22595,대법원,127.0064913,37.49160705,마을버스,121900221,12509.6,416.9866666666667,416.9866666666667
121900220,22596,롯데캐슬클래식,127.022435,37.500431,마을버스,121900220,884.2,29.473333333333336,29.473333333333336
121900320,22598,청계산입구역,127.0550119,37.44913083,마을버스,121900320,2380.2,79.33999999999999,79.33999999999999
121900262,22599,내방역2번출구,126.9943312,37.48684926,마을버스,121900262,7051.3,235.04333333333335,235.04333333333335
121000957,22601,KT삼거리,127.03021,37.472187,일반차로,121000957,626.4,20.88,20.88
121000958,22602,KT연구개발센터정문,127.0300163,37.47043524,일반차로,121000958,1661.6,55.38666666666666,55.38666666666666
121000959,22604,형촌마을입구,127.022193,37.46232848,일반차로,121000959,5804.5,193.48333333333332,193.48333333333332
121000983,22605,서초호반써밋,127.0146668,37.45764166,일반차로,121000983,2333.8928571428573,77.79642857142858,77.79642857142858
121000982,22607,호반써밋서초파크.파크뷰,127.0256209,37.46004311,일반차로,121000982,3941.6666666666665,131.38888888888889,131.38888888888889
121001329,22608,서리풀문화광장,127.0054983,37.49100221,일반차로,121001329,5908.95,196.965,196.965
121900318,22609,서초포레스타5단지정문,127.058458,37.45176464,마을버스,121900318,236.6,7.886666666666667,7.886666666666667
121900327,22613,서초호반써밋,127.0151306,37.45634492,마을버스,121900327,962.4,32.08,32.08
121900316,22614,서초포레스타3단지후문,127.059588,37.453804,마을버스,121900316,531.8,17.726666666666667,17.726666666666667
121900328,22615,서초힐스아파트,127.0195786,37.45646274,마을버스,121900328,458.6,15.286666666666667,15.286666666666667
121900329,22616,LH3.호반써밋서초파크,127.0229573,37.45795457,마을버스,121900329,3596.2,119.87333333333332,119.87333333333332
121900218,22631,신논현역2번출구,127.0235528,37.50605355,마을버스,121900218,4671.2,155.70666666666665,155.70666666666665
121000973,22654,강남역티월드,127.0288669,37.49469744,일반차로,121000973,3824.4,127.48,127.48
121900307,22655,호반써밋서초파크뷰,127.024081,37.45950105,마을버스,121900307,2012.4,67.08,67.08
121900306,22656,LH3.호반써밋서초파크,127.0227162,37.45798656,마을버스,121900306,3241.2,108.03999999999999,108.03999999999999
121900305,22657,서초힐스아파트,127.01736,37.456142,마을버스,121900305,237.2,7.906666666666666,7.906666666666666
121000960,22667,성촌마을입구,127.0246983,37.46429708,일반차로,121000960,12025.115384615385,400.83717948717947,400.83717948717947
121900217,22694,2호선교대역7번출구,127.0145663,37.49407986,마을버스,121900217,2603.4,86.78,86.78
121900216,22742,서초경찰서,127.005994,37.49568276,마을버스,121900216,1964.1818181818182,65.47272727272727,65.47272727272727
121900291,22743,원불교,127.0420565,37.48341411,마을버스,121900291,6157.0,205.23333333333332,205.23333333333332
121900215,22759,남부터미널.기쁨병원,127.0178114,37.48183701,마을버스,121900215,2653.2,88.44,88.44
121001309,22774,삼성전자서울R&D,127.0233096,37.46584698,일반차로,121001309,3692.2,123.07333333333332,123.07333333333332
121900214,22776,사당역13번출구,126.983118,37.47708201,마을버스,121900214,3567.0,118.9,118.9
121001313,22779,네이처힐.호반써밋서초파크.파크뷰,127.0241545,37.4604669,일반차로,121001313,2826.6470588235293,94.22156862745098,94.22156862745098
121900304,22785,서초호반써밋,127.015374,37.45642792,마을버스,121900304,403.6,13.453333333333335,13.453333333333335
121900213,22807,한신2차후문,127.0052284,37.51216234,마을버스,121900213,4933.0,164.43333333333334,164.43333333333334
121900212,22832,서초고후문,127.0044805,37.48911464,마을버스,121900212,2827.0,94.23333333333333,94.23333333333333
121900277,22835,우성아파트,127.0318142,37.47453879,마을버스,121900277,7836.0,261.2,261.2
121900211,22836,내방역1번출구,126.9945811,37.48779237,마을버스,121900211,11760.4,392.0133333333333,392.0133333333333
121900335,22837,내방역8번출구,126.9951096,37.48833075,마을버스,121900335,435.3,14.51,14.51
121900210,22838,교보타워앞,127.0248806,37.50327662,마을버스,121900210,14431.8,481.06,481.06
121900243,22840,잠원역,127.0114648,37.51300424,마을버스,121900243,8.0,0.26666666666666666,0.26666666666666666
121900293,22841,동원산업,127.0454402,37.47659509,마을버스,121900293,15625.318181818182,520.8439393939394,520.8439393939394
121900225,22842,서울시인재개발원,127.021689,37.4826059,마을버스,121900225,4654.6,155.15333333333334,155.15333333333334
121900209,22843,한신2차정문,127.0030849,37.50865075,마을버스,121900209,2119.4,70.64666666666668,70.64666666666668
121900208,22844,더미켈란아파트,127.0040325,37.48620323,마을버스,121900208,8210.2,273.67333333333335,273.67333333333335
121900207,22845,롯데칠성,127.024805,37.49540277,마을버스,121900207,1739.2,57.973333333333336,57.973333333333336
121900206,22847,kt연구소,127.0306514,37.47170504,마을버스,121900206,925.0,30.833333333333332,30.833333333333332
121900205,22848,서리풀터널입구,126.9969386,37.48848848,마을버스,121900205,1336.0,44.53333333333333,44.53333333333333
121900204,22849,사당역14번출구,126.9827574,37.47659626,마을버스,121900204,25714.0,857.1333333333333,857.1333333333333
121900203,22850,강남역.서초초교앞,127.0264997,37.49982698,마을버스,121900203,8899.6,296.65333333333336,296.65333333333336
121900244,22852,경원중학교,127.0092996,37.51197087,마을버스,121900244,44.0,1.4666666666666666,1.4666666666666666
121900202,22854,국립외교원,127.0305444,37.4837943,마을버스,121900202,4835.666666666667,161.1888888888889,161.1888888888889
121900201,22855,호남고속.신세계,127.0032972,37.5058392,마을버스,121900201,11974.4,399.14666666666665,399.14666666666665
121900200,22856,서울고사거리,127.0041759,37.48305387,마을버스,121900200,4110.6,137.02,137.02
121900199,22858,문화예술공원,127.0321148,37.47014303,마을버스,121900199,334.0,11.133333333333333,11.133333333333333
121900198,22859,강남역.삼성전자,127.0278698,37.49705156,마을버스,121900198,10411.818181818182,347.06060606060606,347.06060606060606
121900332,22860,반포종합운동장,126.9965027,37.50051016,마을버스,121900332,1173.2,39.10666666666667,39.10666666666667
121900253,22861,반포종합운동장,126.9962737,37.49947625,마을버스,121900253,6006.0,200.2,200.2
121900197,22862,언남중고교,127.0456986,37.47198673,마을버스,121900197,13425.0,447.5,447.5
121900196,22863,서초구청,127.0324035,37.48406144,마을버스,121900196,26137.8,871.26,871.26
121900195,22864,반포우체국,126.9998269,37.50469034,마을버스,121900195,3378.0,112.6,112.6
121900228,22865,제약회관,127.0017934,37.48232854,마을버스,121900228,2543.1,84.77,84.77
121900239,22866,진흥아파트,127.0226916,37.4965521,마을버스,121900239,3033.6,101.11999999999999,101.11999999999999
121900194,22867,더케이호텔정문,127.0343726,37.46772923,마을버스,121900194,1114.6666666666667,37.15555555555556,37.15555555555556
121900193,22868,황실자이아파트,126.9986375,37.48927464,마을버스,121900193,5610.8,187.02666666666667,187.02666666666667
121900192,22869,우성아파트사거리,127.0294489,37.49370619,마을버스,121900192,5019.272727272727,167.3090909090909,167.3090909090909
121900191,22870,서초역4번출구,127.006826,37.49138445,마을버스,121900191,8149.2,271.64,271.64
121900190,22871,매헌초교,127.0422087,37.47046876,마을버스,121900190,8419.333333333334,280.64444444444445,280.64444444444445
121900189,22872,반포2동주민센터,126.9970536,37.50385318,마을버스,121900189,1442.8,48.093333333333334,48.093333333333334
121900188,22873,방배(백석예술대)역2번출구,126.9980582,37.48072407,마을버스,121900188,16933.8,564.4599999999999,564.4599999999999
121900187,22874,서초그랑자이후문,127.0275421,37.48978276,마을버스,121900187,2074.3636363636365,69.14545454545456,69.14545454545456
