행정동코드,총생활인구수,raw_score_floating_pop
3101.7085,95.536,95.536
3101.7227,77.9751,77.9751
3101.9818,71.5033,71.5033
3103.1179,109.1588,109.1588
3103.5159,80.7066,80.7066
3104.2063,89.4785,89.4785
3104.2795,87.4985,87.4985
3104.7888,76.0237,76.0237
3105.3245,96.8635,96.8635
3105.501,51.731,51.731
3106.1944,78.8821,78.8821
3107.1324,104.4128,104.4128
3108.112,81.0998,81.0998
3108.4892,102.8306,102.8306
3108.8574,104.8288,104.8288
3108.9708,60.0398,60.0398
3109.2159,73.5004,73.5004
3109.2829,101.525,101.525
3111.488,77.0442,77.0442
3111.6687,76.6272,76.6272
3111.9365,78.6714,78.6714
3111.9529,102.9894,102.9894
3112.1946,93.9735,93.9735
3113.2039,77.658,77.658
3113.9507,101.0101,101.0101
3115.1538,74.0537,74.0537
3115.1688,74.5937,74.5937
3115.907,78.7242,78.7242
3116.3936,88.3463,88.3463
3117.0669,70.1668,70.1668
3117.3861,86.2369,86.2369
3117.6093,75.6577,75.6577
3118.179,74.0396,74.0396
3118.8783,95.6189,95.6189
3120.0193,115.9951,115.9951
3121.1701,107.0086,107.0086
3121.4498,91.3133,91.3133
3121.5007,87.7688,87.7688
3122.3479,74.8514,74.8514
3122.9676,74.1803,74.1803
3123.86,76.8949,76.8949
3124.4411,78.8178,78.8178
3125.3486,87.3941,87.3941
3126.0368,78.789,78.789
3126.7497,86.5854,86.5854
3127.1614,71.7097,71.7097
3127.2382,106.9575,106.9575
3127.7323,82.7705,82.7705
3127.8986,97.6801,97.6801
3128.9595,73.4606,73.4606
3129.6487,88.0277,88.0277
3129.8005,83.1554,83.1554
3130.1504,74.1942,74.1942
3130.3379,83.3628,83.3628
3131.5842,78.8349,78.8349
3131.9771,80.434,80.434
3132.2664,90.4354,90.4354
3132.6602,84.7574,84.7574
3132.8922,62.6309,62.6309
3133.106,98.5702,98.5702
3133.1317,84.7497,84.7497
3133.3674,82.1727,82.1727
3133.7608,87.6035,87.6035
3134.3355,102.5115,102.5115
3134.6818,105.2566,105.2566
3134.7692,102.3732,102.3732
3139.634,91.6035,91.6035
3140.3012,71.2591,71.2591
3142.3911,74.0783,74.0783
3143.6832,71.2591,71.2591
3144.5398,80.997,80.997
3147.3323,107.0458,107.0458
3148.1031,69.6453,69.6453
3148.609,80.0673,80.0673
3148.9263,71.1989,71.1989
3149.1469,64.3589,64.3589
3149.7945,89.5632,89.5632
3151.0622,142.5343,142.5343
3151.3584,70.6686,70.6686
3152.0345,76.0993,76.0993
3152.0606,96.2617,96.2617
3152.1473,75.8491,75.8491
3152.5585,74.5556,74.5556
3154.1378,80.5153,80.5153
3154.7943,82.1075,82.1075
3154.8976,77.8449,77.8449
3155.693,104.198,104.198
3155.9143,71.3968,71.3968
3156.1158,75.4804,75.4804
3156.2854,68.6183,68.6183
3156.6032,83.9542,83.9542
3156.8555,86.8946,86.8946
3156.8886,91.0908,91.0908
3157.4841,76.3098,76.3098
3158.4481,69.8212,69.8212
3158.6577,61.9693,61.9693
3158.78,42.585,42.585
3158.8683,85.4934,85.4934
3159.1596,96.7638,96.7638
3159.8012,54.1102,54.1102
3159.9388,91.2976,91.2976
3160.4773,84.3589,84.3589
3160.795,89.1179,89.1179
3161.8381,89.5839,89.5839
3162.7208,97.3861,97.3861
3163.2705,93.2981,93.2981
3163.6375,76.3021,76.3021
3163.7874,83.7277,83.7277
3164.2731,94.0347,94.0347
3164.5228,114.7161,114.7161
