관리기관명,소재지도로명주소,lat,lon,raw_score_cctv
서울특별시 종로구청,서울특별시 종로구 사직로8길 4,37.57475,126.9702,1
서울특별시 종로구청,서울특별시 종로구 경교장길 5,37.56739,126.9658,4
서울특별시 종로구청,서울특별시 종로구 자하문로5길 35,37.5778,126.9699,2
서울특별시 종로구청,서울특별시 종로구 명륜7길 36,37.59028,126.9948,3
서울특별시 종로구청,서울특별시 종로구 지봉로11길 2,37.57677,127.0154,3
서울특별시 종로구청,서울특별시 종로구 청계천로 199-1(예지동),37.56947,126.9999,1
서울특별시 종로구청,서울특별시 종로구 난계로29길 49,37.5738,127.0204,3
서울특별시 종로구청,서울특별시 종로구 종로 160-3,37.5704,126.9954,2
서울특별시 종로구청,서울특별시 종로구 청계천로 133 (장사동),37.56843,126.9908,1
서울특별시 종로구청,서울특별시 종로구 북악산로 221,37.602,126.9809,4
서울특별시 종로구청,서울특별시 종로구 자하문로 23,37.5781,126.9718,3
서울특별시 종로구청,서울특별시 종로구 종로53길 21-4,37.57339,127.0135,2
서울특별시 종로구청,서울특별시 종로구 사직동 산1-24(사직근린공원),37.57827,126.9634,2
서울특별시 종로구청,서울특별시 종로구 율곡로3길 49,37.57729,126.9825,3
서울특별시 종로구청,서울특별시 종로구 충신길 4,37.57341,127.0076,2
서울특별시 종로구청,,37.6106,126.9777,3
서울특별시 종로구청,서울특별시 종로구 평창6길 18,37.61466,126.9711,3
서울특별시 종로구청,서울특별시 종로구 통일로18가길 26(인왕산도시공원),37.57904,126.9593,2
서울특별시 종로구청,서울특별시 종로구 돈화문로9길 26,37.57171,126.9905,3
서울특별시 종로구청,서울특별시 종로구 옥인5길 7,37.58243,126.9648,3
서울특별시 종로구청,서울특별시 종로구 종로 368,37.57363,127.0184,3
서울특별시 종로구청,서울특별시 종로구 종로63가길 79,37.57731,127.0187,2
서울특별시 종로구청,서울특별시 종로구 자하문로35길,37.59048,126.9654,1
서울특별시 종로구청,서울특별시 종로구 지봉로 100-16,37.57936,127.0158,3
서울특별시 종로구청,서울특별시 종로구 평창길 180-5,37.61256,126.9683,2
서울특별시 종로구청,서울특별시 종로구 북촌로11나길 26,37.58211,126.9822,2
서울특별시 종로구청,서울특별시 종로구 동숭3길 40,37.58278,127.0047,2
서울특별시 종로구청,서울특별시 종로구 신문로 2가 1-436,37.57347,126.9685,1
서울특별시 종로구청,서울특별시 종로구 창신6가길 39 (산마루놀이터),37.57569,127.0124,2
서울특별시 종로구청,서울특별시 종로구 명륜7길 39-5,37.59062,126.995,3
서울특별시 종로구청,서울특별시 종로구 신문로2가 170-1,37.56936,126.9696,1
서울특별시 종로구청,서울특별시 종로구 숭인동 2길 4,37.57815,127.0218,3
서울특별시 종로구청,서울특별시 종로구 자하문로11길 21,37.57974,126.97,3
서울특별시 종로구청,서울특별시 종로구 창경궁로26길 28,37.5818,126.9992,3
서울특별시 종로구청,서울특별시 종로구 자하문로 71,37.58235,126.9705,1
