사업장명,도로명주소,raw_score_noise_pub,경도,위도
더 찬스,서울특별시 종로구 종로8길 16 (관철동),1.0,126.98096865510558,37.5693580367376
원남관광나이트,,1.0,,
토마토,서울특별시 종로구 삼일대로15길 17 (관철동),1.0,126.98367170269705,37.56869420176373
모델노래크럽,서울특별시 종로구 통일로 202 (교북동),1.0,,
갤럭시 노래주점,,1.0,,
커플노래주점,서울특별시 종로구 삼일대로15길 3 (관철동),1.0,126.9843776573351,37.56875711840953
스타노래,"서울특별시 종로구 종로14길 32 (관철동,지하1층)",1.0,126.98384763133393,37.56857936980728
야화,"서울특별시 종로구 종로36가길 6 (종로5가,지상1층)",1.0,127.00128688922248,37.5706015782834
장녹수,"서울특별시 강남구 테헤란로78길 14-8, 지하1층 (대치동)",1.0,127.05191701283746,37.50527142079023
킹 노래바,"서울특별시 금천구 시흥대로 231, 2층 일부호 (시흥동)",1.0,126.89740584414793,37.45428586571966
팡팡,서울특별시 영등포구 경인로 728 (문래동1가),1.0,126.89172053373812,37.511972925806816
이브노래장,"서울특별시 영등포구 디지털로 463, 지하1층 (대림동)",1.0,126.90485136757802,37.49672599565698
탬버린,"서울특별시 종로구 종로46길 1 (창신동, (지상2층))",1.0,127.00808223559507,37.57149963500277
투투노래주점,서울특별시 종로구 종로5길 32-5 (청진동),1.0,126.97795165158311,37.57190772760057
오퍼스(Opus),서울특별시 종로구 돈화문로5가길 13-1 (돈의동),1.0,126.98855199642472,37.57140757426745
제이제이,"서울특별시 종로구 돈화문로11가길 93 (운니동,지하1층)",1.0,126.98695230113609,37.576735712710835
대부,"서울특별시 종로구 통일로 150-5 (교남동,지하1층)",1.0,126.96232244308408,37.56782320479886
파트너스,"서울특별시 종로구 삼봉로 68 (청진동,지하1층)",1.0,126.97800183710665,37.572137868899276
Alvin Avenue(엘빈 에비뉴),"서울특별시 강남구 강남대로92길 13, 지하1.2층 (역삼동)",1.0,127.02562461810267,37.49904201828512
붐노래밤주점,서울특별시 종로구 삼일대로20길 13 (관수동),1.0,126.98578633408543,37.569753406880245
